,date,open,close,high,low,volume,code
396,2017-08-17,347.142,342.232,347.142,339.342,25846.0,600519
397,2017-08-18,342.342,339.192,343.982,337.542,23857.0,600519
398,2017-08-21,337.542,339.272,343.942,336.482,23546.0,600519
399,2017-08-22,336.942,336.762,339.022,325.542,42457.0,600519
400,2017-08-23,334.992,343.552,344.172,333.862,27214.0,600519
401,2017-08-24,343.532,342.352,345.942,341.562,18156.0,600519
402,2017-08-25,342.992,342.532,343.792,338.862,17297.0,600519
403,2017-08-28,342.542,341.582,346.832,340.572,29021.0,600519
404,2017-08-29,342.562,338.982,344.422,337.552,25176.0,600519
405,2017-08-30,339.242,342.512,343.292,338.702,18503.0,600519
406,2017-08-31,343.582,340.692,344.422,339.342,18736.0,600519
407,2017-09-01,339.742,344.722,345.822,339.572,31451.0,600519
408,2017-09-04,344.722,341.962,346.202,340.812,18931.0,600519
409,2017-09-05,342.422,339.532,343.532,339.042,22622.0,600519
410,2017-09-06,339.542,334.522,342.312,334.382,33006.0,600519
411,2017-09-07,334.852,330.812,336.442,329.602,33320.0,600519
412,2017-09-08,327.792,323.912,330.042,323.542,41173.0,600519
413,2017-09-11,320.632,327.862,331.762,319.522,45374.0,600519
414,2017-09-12,329.042,334.452,335.542,327.942,34341.0,600519
415,2017-09-13,334.542,341.172,341.742,330.922,33075.0,600519
416,2017-09-14,342.532,340.252,343.572,338.532,19399.0,600519
417,2017-09-15,342.042,339.382,342.042,337.542,16039.0,600519
418,2017-09-18,339.682,348.512,350.042,339.682,42206.0,600519
419,2017-09-19,349.842,346.492,352.042,345.552,23054.0,600519
420,2017-09-20,346.442,345.742,349.562,345.542,17318.0,600519
421,2017-09-21,345.482,348.312,350.122,342.422,19402.0,600519
